Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG_opp,FGA_opp,FG%_opp,3P_opp,3PA_opp,3P%_opp,2P_opp,2PA_opp,2P%_opp,eFG%_opp,FT_opp,FTA_opp,FT%_opp,ORB_opp,DRB_opp,TRB_opp,AST_opp,STL_opp,BLK_opp,TOV_opp,PF_opp
1,2020-11-25,N,East Tennessee State,REG (Non-Conf),W,70,47,"",20,49,.408,13,23,.565,7,26,.269,.541,17,27,.630,6,24,30,14,8,3,15,21,15,51,.294,3,21,.143,12,30,.400,.324,14,17,.824,11,27,38,5,6,2,22,26
2,2020-11-27,N,Austin Peay,REG (Non-Conf),W,80,72,"",29,53,.547,5,9,.556,24,44,.545,.594,17,29,.586,5,20,25,12,12,1,15,18,27,59,.458,5,17,.294,22,42,.524,.500,13,16,.813,11,21,32,12,2,1,18,23
3,2020-11-28,N,Omaha,REG (Non-Conf),W,70,58,"",26,58,.448,6,12,.500,20,46,.435,.500,12,20,.600,10,22,32,15,9,0,14,14,23,52,.442,2,14,.143,21,38,.553,.462,10,13,.769,5,25,30,11,9,2,23,21
4,2020-12-01,"","",REG (Non-Conf),W,81,51,"",30,70,.429,9,33,.273,21,37,.568,.493,12,21,.571,17,28,45,19,14,4,19,16,17,50,.340,6,19,.316,11,31,.355,.400,11,15,.733,5,22,27,9,4,3,29,21
5,2020-12-05,"",Tarleton State,REG (Non-Conf),W,69,48,"",23,56,.411,9,27,.333,14,29,.483,.491,14,22,.636,10,19,29,15,10,2,14,21,15,35,.429,1,8,.125,14,27,.519,.443,17,29,.586,5,25,30,5,10,4,28,25
6,2020-12-09,@,Texas Tech,REG (Non-Conf),L,44,51,"",16,45,.356,6,18,.333,10,27,.370,.422,6,9,.667,3,20,23,6,8,3,20,31,12,43,.279,2,15,.133,10,28,.357,.302,25,37,.676,11,17,28,7,9,6,16,16
7,2020-12-12,"","",REG (Non-Conf),W,83,46,"",31,71,.437,8,31,.258,23,40,.575,.493,13,22,.591,15,26,41,20,14,2,10,19,19,53,.358,7,22,.318,12,31,.387,.425,1,8,.125,9,25,34,8,4,4,26,24
8,2020-12-16,"","",REG (Non-Conf),W,95,73,"",32,68,.471,4,17,.235,28,51,.549,.500,27,43,.628,16,21,37,16,13,4,11,18,27,57,.474,7,16,.438,20,41,.488,.535,12,15,.800,6,25,31,13,3,3,25,29
9,2020-12-22,@,Arkansas,REG (Non-Conf),L,72,85,"",29,61,.475,5,22,.227,24,39,.615,.516,9,15,.600,8,17,25,13,3,4,12,19,26,59,.441,9,25,.360,17,34,.500,.517,24,30,.800,12,24,36,15,6,5,13,18
10,2020-12-29,"","",REG (Non-Conf),W,82,44,"",31,61,.508,6,29,.207,25,32,.781,.557,14,23,.609,10,31,41,18,12,5,13,16,15,49,.306,10,22,.455,5,27,.185,.408,4,9,.444,5,18,23,8,5,0,25,22
11,2021-01-02,"",Lamar,REG (Conf),W,83,65,"",30,69,.435,9,20,.450,21,49,.429,.500,14,21,.667,15,23,38,21,11,3,13,23,21,51,.412,4,20,.200,17,31,.548,.451,19,24,.792,7,22,29,11,3,6,18,20
12,2021-01-06,@,Houston Baptist,REG (Conf),W,66,63,"",27,65,.415,3,22,.136,24,43,.558,.438,9,11,.818,13,27,40,17,6,3,13,20,20,51,.392,6,19,.316,14,32,.438,.451,17,22,.773,3,23,26,8,6,9,15,20
13,2021-01-16,"",Southeastern Louisiana,REG (Conf),W,76,42,"",24,54,.444,9,24,.375,15,30,.500,.528,19,27,.704,9,22,31,21,16,5,14,26,11,36,.306,4,15,.267,7,21,.333,.361,16,28,.571,5,23,28,6,8,5,29,28
14,2021-01-20,@,Sam Houston State,REG (Conf),L,57,64,"",23,61,.377,3,19,.158,20,42,.476,.402,8,15,.533,11,18,29,21,6,3,11,20,21,53,.396,6,17,.353,15,36,.417,.453,16,26,.615,15,29,44,12,5,3,16,17
15,2021-01-23,"",Central Arkansas,REG (Conf),W,93,58,"",34,64,.531,12,31,.387,22,33,.667,.625,13,18,.722,8,23,31,29,11,6,12,18,21,54,.389,4,14,.286,17,40,.425,.426,12,16,.750,8,22,30,6,6,1,24,23
16,2021-01-27,"",Stephen F. Austin,REG (Conf),W,82,62,"",26,63,.413,6,24,.250,20,39,.513,.460,24,29,.828,12,24,36,12,7,5,11,19,23,54,.426,2,8,.250,21,46,.457,.444,14,25,.560,13,28,41,10,8,5,22,25
17,2021-01-30,@,Incarnate Word,REG (Conf),W,75,67,"",25,52,.481,6,23,.261,19,29,.655,.538,19,25,.760,12,26,38,17,2,1,12,17,21,53,.396,12,29,.414,9,24,.375,.509,13,17,.765,4,16,20,15,7,0,8,20
18,2021-02-06,@,Lamar,REG (Conf),W,77,62,"",30,61,.492,11,22,.500,19,39,.487,.582,6,12,.500,9,21,30,20,11,2,7,14,22,45,.489,10,12,.833,12,33,.364,.600,8,15,.533,7,24,31,11,4,4,17,15
